id_transacao;id_colaborador;id_beneficio;valor;data;local
45;198;1;425.4;2025-08-01;Camargo da Rocha e Filhos
46;33;5;168.79;2025-05-28;Porto S.A.
47;77;5;58.01;2025-05-10;Correia - ME
48;9;6;255.51;2025-05-07;Pastor
49;84;5;402.32;2025-03-11;Moreira
50;5;4;99.06;2025-03-06;Cardoso
51;166;2;141.66;2025-04-27;Marques
52;51;6;191.81;2025-05-03;Aparecida
53;139;5;271.71;2025-07-09;Correia Alves e Filhos
54;25;6;29.93;2025-05-23;Jesus Camargo - ME
55;119;4;277.82;2025-05-23;da Mata
56;146;4;127.57;2025-08-11;Nunes
57;135;2;252.56;2025-08-06;Costela - EI
58;33;1;172.79;2025-06-17;Carvalho
59;25;5;19.5;2025-07-11;Farias
60;132;6;397.41;2025-08-15;Duarte
61;24;1;75.14;2025-08-28;Almeida Sampaio S.A.
62;108;5;404.47;2025-04-29;Vasconcelos Cunha S.A.
63;153;3;122.44;2025-06-14;Cirino
64;32;4;255.93;2025-08-29;Borges
65;145;5;54.5;2025-05-17;Sampaio S/A
66;154;5;460.44;2025-04-09;Pimenta Ltda.
67;11;2;18.14;2025-04-13;Azevedo
68;179;1;443.65;2025-05-10;Teixeira
69;11;6;458.18;2025-07-17;Rios
70;98;5;16.03;2025-08-22;Ramos
71;199;3;120.28;2025-05-25;Almeida Sousa S/A
72;76;2;402.41;2025-04-16;Teixeira
73;60;6;17.13;2025-04-22;da Cruz
74;84;6;427.27;2025-04-06;Monteiro Ltda.
75;133;4;307.0;2025-08-19;da Luz
76;58;6;335.52;2025-07-17;Pires
77;127;6;317.66;2025-04-26;Albuquerque
78;42;4;238.94;2025-04-05;Pires
79;111;4;299.64;2025-05-08;Guerra Câmara S/A
80;187;2;380.1;2025-04-10;Pires - ME
81;128;1;11.86;2025-06-03;da Cunha da Costa - ME
82;165;4;492.93;2025-03-24;Barros
83;136;5;303.45;2025-04-20;Novais
84;18;5;491.6;2025-03-22;Vieira
85;50;6;241.46;2025-06-23;Duarte Vasconcelos - ME
86;57;6;479.67;2025-08-29;da Cunha S.A.
87;115;1;282.55;2025-03-04;Cavalcanti S/A
88;100;1;100.14;2025-03-06;Mendes Farias S.A.
89;94;5;172.59;2025-05-08;da Costa
90;193;3;155.44;2025-06-11;Moraes
91;51;4;461.13;2025-08-01;Pimenta Ltda.
92;4;6;71.41;2025-06-10;Azevedo Nogueira S/A
93;75;2;480.64;2025-05-12;Rodrigues - ME
94;160;6;36.01;2025-05-04;Rocha
95;43;3;386.1;2025-05-03;Araújo
96;188;4;161.61;2025-05-25;Vieira Vasconcelos e Filhos
97;195;3;233.98;2025-05-28;Castro
98;60;5;215.25;2025-08-04;Ribeiro Barros - ME
99;23;5;431.7;2025-06-10;Barros
100;8;2;58.53;2025-05-07;da Cruz Marques - EI
101;71;6;104.42;2025-06-15;Fogaça
102;125;2;234.66;2025-03-23;Melo S/A
103;171;3;281.54;2025-05-15;Câmara
104;169;5;155.76;2025-04-29;Freitas
105;64;5;105.01;2025-03-14;Silva Pastor S.A.
106;116;3;175.77;2025-08-16;Oliveira
107;73;4;212.56;2025-07-08;Vargas Guerra Ltda.
108;6;4;329.83;2025-03-27;Monteiro Porto S.A.
109;190;6;327.94;2025-08-26;Novaes Costa e Filhos
110;1;5;15.63;2025-04-26;Macedo - EI
111;111;3;113.89;2025-07-18;Leão
112;185;2;445.28;2025-08-20;Fogaça
113;45;2;104.5;2025-06-29;Gonçalves Araújo - EI
114;70;4;355.21;2025-05-18;Oliveira
115;19;2;331.87;2025-08-19;Souza S.A.
116;46;5;198.84;2025-05-09;Campos Alves - ME
117;34;1;133.77;2025-03-21;Cavalcante
118;137;2;431.37;2025-04-14;Novaes - ME
119;18;3;337.93;2025-05-24;Cavalcante da Cunha S.A.
120;33;2;374.36;2025-08-26;Vargas
121;15;2;39.69;2025-08-14;Araújo
122;75;2;212.1;2025-04-13;Sales
123;98;5;477.17;2025-07-22;Câmara Cunha Ltda.
124;117;3;348.91;2025-03-28;Gonçalves e Filhos
125;198;6;177.87;2025-03-11;Azevedo S.A.
126;138;5;173.37;2025-07-12;Gomes - ME
127;133;5;215.77;2025-07-09;Farias
128;183;3;306.22;2025-03-31;Garcia S/A
129;110;6;226.23;2025-04-01;Novais - ME
130;86;2;49.09;2025-04-17;Almeida
131;173;3;482.72;2025-07-20;das Neves
132;138;5;240.99;2025-07-29;Martins
133;166;6;350.24;2025-06-01;Marques
134;153;5;182.97;2025-05-27;Martins
135;156;5;482.22;2025-03-14;Vasconcelos
136;106;2;133.62;2025-04-01;Pacheco
137;134;2;237.94;2025-05-17;Mendes
138;20;4;339.39;2025-04-26;Sousa
139;31;6;449.23;2025-04-18;Silva
140;118;5;156.07;2025-09-01;Pastor
141;43;5;462.29;2025-05-26;Vargas - EI
142;184;4;183.59;2025-06-29;Melo
143;143;2;220.4;2025-07-03;das Neves Ltda.
144;177;6;12.42;2025-06-25;Pinto
145;10;4;499.35;2025-07-08;Pastor Pacheco Ltda.
146;196;6;391.01;2025-08-04;Brito - EI
147;20;3;438.21;2025-03-15;Freitas
148;8;2;454.51;2025-05-31;Melo
149;58;3;190.3;2025-03-13;Machado - EI
150;55;6;251.93;2025-06-13;Azevedo
151;127;6;247.69;2025-05-17;Costela S/A
152;34;2;403.14;2025-04-19;Lima S/A
153;176;1;187.3;2025-05-18;Lopes e Filhos
154;9;1;366.03;2025-04-03;Nunes Silveira Ltda.
155;98;3;416.79;2025-06-28;da Cruz
156;53;3;489.75;2025-08-17;Costela
157;90;3;42.72;2025-06-24;Silva
158;165;3;151.94;2025-08-12;da Luz
159;193;6;68.3;2025-07-24;das Neves Aparecida - EI
160;75;6;223.88;2025-03-15;Araújo
161;10;2;437.74;2025-04-27;Vargas
162;159;4;296.04;2025-05-24;Cardoso da Mota - ME
163;89;3;22.21;2025-03-30;Moreira Alves Ltda.
164;193;4;389.08;2025-04-14;Campos
165;161;6;82.92;2025-05-19;Machado
166;24;6;350.94;2025-07-12;Dias S/A
167;167;1;394.21;2025-06-18;Melo
168;94;1;473.85;2025-03-14;Silveira Monteiro S/A
169;23;4;14.04;2025-06-14;Pastor S.A.
170;78;3;466.93;2025-06-20;Moura
171;126;3;189.8;2025-04-16;Gomes
172;170;4;109.61;2025-04-02;Almeida Martins S/A
173;42;6;427.96;2025-06-03;Rodrigues
174;139;6;51.87;2025-07-22;da Mata e Filhos
175;101;3;383.63;2025-05-22;Fernandes - ME
176;57;4;156.43;2025-05-10;Teixeira
177;160;3;389.82;2025-07-11;Santos Leão S.A.
178;174;1;357.56;2025-05-11;Marques - ME
179;159;4;404.98;2025-03-16;Cirino
180;82;4;415.87;2025-08-14;Pereira Barbosa S/A
181;133;2;109.32;2025-08-03;Pires
182;59;2;477.63;2025-03-25;da Costa
183;95;5;390.16;2025-04-04;Nunes S.A.
184;193;1;124.11;2025-05-28;Silva
185;115;6;67.05;2025-07-26;Cunha
186;113;5;156.89;2025-03-18;Lopes Sousa S/A
187;111;2;87.63;2025-08-02;Duarte Costela - EI
188;51;3;208.2;2025-07-27;da Conceição Rezende e Filhos
189;2;3;492.94;2025-06-03;Abreu Pastor S.A.
190;44;5;351.11;2025-06-27;Jesus - EI
191;105;1;10.54;2025-03-25;Oliveira
192;128;5;39.8;2025-07-05;Araújo
193;96;5;46.21;2025-04-22;da Paz Barbosa Ltda.
194;33;4;216.12;2025-06-12;Camargo Brito - ME
195;179;1;432.4;2025-08-28;Souza
196;39;4;111.16;2025-05-26;Teixeira
197;12;2;55.75;2025-05-19;Casa Grande da Mota S.A.
198;26;3;185.1;2025-04-11;Costa
199;13;4;73.45;2025-03-22;Moraes
200;58;1;301.07;2025-06-19;Sales
201;142;6;158.27;2025-03-13;Oliveira S.A.
202;33;5;357.88;2025-07-30;Sampaio
203;174;6;93.52;2025-07-07;da Cruz
204;112;6;245.93;2025-04-29;da Cruz
205;81;2;148.53;2025-05-18;Castro
206;7;6;214.59;2025-08-03;Leão e Filhos
207;70;6;190.65;2025-04-29;Caldeira S/A
208;171;2;497.94;2025-04-15;Fonseca
209;87;5;466.13;2025-06-09;Pires Vieira S/A
210;64;5;274.4;2025-04-15;Camargo Novaes S/A
211;167;3;285.87;2025-03-25;Borges S.A.
212;98;1;469.67;2025-08-28;Sá
213;188;2;476.32;2025-07-04;Silva Barros - ME
214;173;6;487.77;2025-09-01;Fogaça
215;140;4;74.54;2025-04-16;Costela Pinto Ltda.
216;164;5;104.86;2025-04-11;Pastor Barros S.A.
217;95;3;346.33;2025-05-21;Sampaio
218;98;4;160.68;2025-04-12;Mendes
219;16;3;160.02;2025-04-01;Viana
220;49;1;301.03;2025-05-25;Castro
221;131;6;109.93;2025-05-28;Fernandes Ribeiro e Filhos
222;192;3;453.51;2025-05-04;Garcia da Mata e Filhos
223;142;1;164.62;2025-05-08;Carvalho Vasconcelos - EI
224;98;6;104.98;2025-03-04;Barros Ribeiro Ltda.
225;162;3;242.82;2025-08-30;Correia - ME
226;196;6;271.19;2025-08-19;Garcia
227;114;1;329.53;2025-08-23;Rezende S/A
228;74;2;23.85;2025-07-13;Fogaça
229;106;3;326.51;2025-05-07;da Rocha e Filhos
230;77;5;242.86;2025-04-29;Almeida e Filhos
231;2;1;243.59;2025-07-14;Lima
232;167;6;14.76;2025-06-16;Caldeira
233;145;2;428.46;2025-08-06;Melo S/A
234;198;1;88.55;2025-05-26;Rios - EI
235;117;5;87.01;2025-03-30;Almeida
236;81;4;260.89;2025-08-17;Moreira
237;25;3;223.89;2025-04-17;da Rocha
238;74;2;32.47;2025-03-26;Pimenta
239;125;5;183.05;2025-04-16;Lima
240;85;5;320.52;2025-06-22;Rios - ME
241;53;5;141.38;2025-08-11;Andrade
242;62;1;342.97;2025-03-19;Ramos
243;76;2;85.76;2025-06-27;Moraes Cavalcante - ME
244;81;5;433.77;2025-04-25;Ramos S/A
245;44;2;283.76;2025-07-03;Azevedo
246;84;4;375.12;2025-03-14;Ferreira
247;83;3;230.52;2025-08-24;Novaes S/A
248;179;4;392.7;2025-06-30;Gonçalves
249;74;6;419.04;2025-08-15;da Cruz
250;164;2;147.71;2025-05-09;Novais
251;121;1;220.38;2025-05-09;Fogaça
252;199;5;369.2;2025-06-06;Correia
253;46;3;347.11;2025-06-16;Brito e Filhos
254;14;1;437.39;2025-04-22;Brito Machado Ltda.
255;83;5;325.4;2025-07-11;Nunes
256;71;4;78.27;2025-05-13;Correia Castro - ME
257;177;6;126.37;2025-08-12;Pereira S/A
258;60;5;28.18;2025-05-01;Albuquerque
259;128;5;161.63;2025-03-18;Rios
260;128;5;261.12;2025-08-19;da Paz
261;40;5;43.58;2025-04-18;Abreu S/A
262;66;6;409.35;2025-04-30;Peixoto Ribeiro - EI
263;127;2;195.01;2025-08-24;Rodrigues
264;187;1;17.59;2025-05-23;Moura S.A.
265;154;6;160.23;2025-07-27;Macedo
266;21;6;66.21;2025-05-08;Azevedo
267;127;3;218.0;2025-08-21;Sá e Filhos
268;141;4;438.28;2025-03-10;Cunha - ME
269;44;3;333.53;2025-03-16;Melo
270;155;6;186.55;2025-08-06;Nascimento
271;133;5;167.18;2025-08-14;Cavalcanti Borges Ltda.
272;196;3;186.78;2025-07-09;Lima Costela - ME
273;25;6;349.75;2025-06-01;Teixeira
274;156;1;193.28;2025-03-09;Azevedo
275;137;5;376.07;2025-06-21;Rodrigues
276;38;2;200.64;2025-07-06;Cunha
277;174;3;404.17;2025-05-27;Garcia
278;65;6;331.89;2025-03-08;Garcia - ME
279;26;6;24.13;2025-08-22;Melo Fernandes - ME
280;103;2;371.89;2025-05-17;Azevedo e Filhos
281;117;2;386.39;2025-08-26;Pinto
282;36;2;316.05;2025-03-19;Leão Novais S/A
283;171;4;211.93;2025-08-06;Fogaça e Filhos
284;63;2;346.6;2025-03-16;Rocha
285;120;1;96.05;2025-05-28;Pereira
286;58;1;67.24;2025-05-03;Garcia
287;176;6;381.47;2025-07-28;Macedo da Mota e Filhos
288;162;6;388.64;2025-08-17;Costa
289;24;6;170.58;2025-06-09;Montenegro
290;49;2;34.26;2025-06-07;Leão S.A.
291;53;1;397.14;2025-06-20;Farias
292;141;3;155.25;2025-06-13;Pereira Aragão e Filhos
293;95;2;405.75;2025-05-31;da Costa Rios - ME
294;154;5;79.44;2025-06-23;da Mata
295;179;4;362.47;2025-05-26;Porto Aparecida e Filhos
296;13;2;386.63;2025-07-20;Vargas e Filhos
297;166;6;353.2;2025-04-23;Araújo S.A.
298;187;2;375.76;2025-06-06;Ferreira
299;114;2;152.33;2025-03-23;Barros
300;92;5;374.39;2025-03-26;Câmara
301;42;4;362.01;2025-08-27;Mendes - ME
302;130;2;92.02;2025-07-25;Montenegro
303;169;5;124.97;2025-06-24;Campos Garcia S/A
304;128;1;255.89;2025-06-28;Ferreira - EI
305;29;5;141.85;2025-07-24;Costa
306;154;4;210.57;2025-08-14;Sá
307;11;3;298.24;2025-05-04;Guerra Porto S/A
308;19;2;150.9;2025-03-30;Costa e Filhos
309;166;6;445.92;2025-03-05;Nunes
310;88;1;287.98;2025-06-22;Sá - ME
311;9;2;243.36;2025-07-24;Vieira
312;165;5;197.85;2025-06-29;Cavalcanti
313;150;3;25.02;2025-08-28;Vasconcelos
314;89;5;115.75;2025-07-29;da Conceição Carvalho Ltda.
315;123;1;161.2;2025-03-04;Pacheco
316;60;4;421.07;2025-03-13;Guerra
317;36;3;210.64;2025-03-21;Pereira - EI
318;88;5;220.8;2025-03-20;Nogueira
319;49;4;47.57;2025-08-31;Correia Pires S.A.
320;184;1;225.28;2025-05-22;Caldeira S/A
321;133;5;470.67;2025-07-19;Pacheco
322;137;5;452.79;2025-04-24;das Neves - EI
323;29;3;87.74;2025-07-28;Mendes - ME
324;8;6;472.36;2025-08-20;Pimenta
325;89;1;159.07;2025-05-01;Lopes
326;43;5;120.06;2025-07-05;Silveira
327;170;2;10.76;2025-03-13;Gomes
328;138;2;112.15;2025-04-08;das Neves
329;130;5;15.73;2025-06-13;das Neves
330;23;3;302.73;2025-08-17;Câmara S.A.
331;186;5;14.68;2025-04-06;Vieira Dias e Filhos
332;44;1;201.93;2025-03-04;Camargo
333;98;6;487.81;2025-05-01;Duarte
334;80;1;224.27;2025-07-10;Rocha
335;31;1;308.64;2025-05-07;Farias
336;139;3;194.89;2025-04-27;Rodrigues Oliveira e Filhos
337;18;4;216.37;2025-05-18;Porto
338;149;2;469.73;2025-05-31;Brito
339;61;4;193.35;2025-07-07;Sampaio
340;152;1;38.23;2025-06-07;Araújo e Filhos
341;199;3;424.09;2025-04-15;Duarte Camargo e Filhos
342;120;1;386.47;2025-04-14;Siqueira - ME
343;40;2;55.88;2025-03-16;Costa Duarte - ME
344;184;5;333.3;2025-04-01;Araújo - ME
345;135;3;251.87;2025-04-20;Cavalcante
346;81;5;169.37;2025-06-16;Cardoso
347;141;5;426.01;2025-03-10;Sousa Câmara e Filhos
348;192;2;175.44;2025-07-31;Porto Siqueira e Filhos
349;192;6;13.27;2025-04-07;Albuquerque
350;57;6;163.48;2025-04-21;Barbosa S.A.
351;94;6;464.27;2025-04-10;Cavalcanti - EI
352;116;1;13.45;2025-07-30;Cardoso
353;168;6;110.92;2025-07-28;da Mata e Filhos
354;158;3;303.39;2025-06-22;Sá
355;3;3;249.64;2025-07-14;Guerra
356;97;5;13.27;2025-03-18;da Rocha - ME
357;198;1;58.3;2025-08-17;Gomes Ltda.
358;16;4;405.31;2025-05-04;da Rosa
359;195;6;138.94;2025-05-08;Mendes
360;178;5;417.62;2025-03-16;Aparecida
361;65;1;379.81;2025-07-13;Vieira Pacheco - ME
362;4;6;102.35;2025-07-08;da Costa S.A.
363;35;2;238.67;2025-04-12;das Neves Ltda.
364;62;1;170.95;2025-08-03;Rezende e Filhos
365;193;1;23.52;2025-03-10;Gomes
366;27;4;275.59;2025-03-22;Fernandes S.A.
367;76;2;259.13;2025-04-16;Fernandes
368;162;4;37.1;2025-08-24;Casa Grande Freitas - ME
369;94;6;229.04;2025-04-16;Lima
370;23;5;56.37;2025-05-21;Nascimento
371;26;1;457.18;2025-07-03;Cunha Ltda.
372;191;6;312.7;2025-05-20;Barbosa
373;198;3;71.57;2025-04-21;Vieira Ltda.
374;94;4;128.43;2025-07-26;Cavalcante Peixoto e Filhos
375;122;5;52.04;2025-04-18;Jesus Ltda.
376;138;6;312.41;2025-05-11;Campos Sales S.A.
377;128;5;374.3;2025-07-22;Fernandes
378;122;2;268.75;2025-05-31;Pastor
379;161;5;363.18;2025-06-03;Costa
380;196;5;449.63;2025-05-22;Cassiano
381;53;1;302.85;2025-08-15;Nogueira S.A.
382;83;4;383.56;2025-05-28;da Costa Porto S/A
383;150;1;16.75;2025-06-18;Correia
384;106;4;353.94;2025-06-19;da Mata Sousa S.A.
385;91;3;168.73;2025-08-10;da Mata
386;142;3;62.33;2025-06-29;Fernandes
387;200;2;403.16;2025-07-09;Farias
388;81;3;156.83;2025-04-30;Nascimento Nascimento S/A
389;42;3;406.76;2025-07-26;Carvalho Melo e Filhos
390;94;6;280.56;2025-08-30;Pastor S.A.
391;96;1;295.41;2025-04-18;Guerra
392;22;3;325.44;2025-07-17;Rocha Azevedo - ME
393;25;2;27.87;2025-07-23;Macedo
394;131;1;29.08;2025-04-01;da Paz
395;49;6;196.07;2025-06-28;Brito
396;36;6;382.02;2025-04-02;Pereira
397;182;6;212.31;2025-08-25;Nunes
398;129;2;408.56;2025-07-15;Mendes S/A
399;170;6;77.75;2025-06-27;Fonseca
400;47;6;233.87;2025-03-28;Vasconcelos Freitas Ltda.
401;85;2;416.36;2025-03-26;Teixeira Cardoso e Filhos
402;39;6;64.02;2025-03-07;da Costa - EI
403;90;1;94.09;2025-07-20;Moura
404;36;6;41.29;2025-08-02;Silveira Moraes - EI
405;20;4;27.26;2025-04-14;Vieira
406;125;1;405.7;2025-03-20;Santos
407;43;1;357.05;2025-08-31;Fonseca
408;164;2;444.39;2025-05-16;Campos Fernandes S/A
409;116;2;93.47;2025-07-16;Alves Farias S/A
410;33;6;43.48;2025-03-10;Mendonça
411;140;4;479.67;2025-07-08;Vasconcelos
412;131;3;387.81;2025-08-20;Porto
413;134;5;447.54;2025-08-13;Lima
414;60;2;442.63;2025-07-09;Gomes
415;71;5;230.57;2025-04-11;Pacheco
416;93;6;86.32;2025-05-28;Garcia
417;122;1;280.65;2025-07-03;das Neves
418;123;5;424.19;2025-07-06;Nogueira
419;110;4;361.24;2025-04-09;da Conceição Gomes - ME
420;3;3;384.62;2025-04-04;Cassiano
421;29;4;58.08;2025-05-04;Sousa
422;20;4;285.4;2025-05-06;da Conceição
423;107;4;270.08;2025-03-21;Campos Fernandes - EI
424;122;5;410.81;2025-08-18;Cavalcante
425;19;6;160.44;2025-05-21;Fernandes Cavalcanti Ltda.
426;130;2;347.71;2025-06-25;Silva Azevedo e Filhos
427;37;4;43.92;2025-08-13;Borges
428;4;5;52.07;2025-06-29;Carvalho
429;135;4;73.27;2025-03-26;Jesus
430;59;5;108.55;2025-08-16;Santos
431;56;4;485.02;2025-03-29;Nogueira
432;124;5;217.49;2025-07-17;Ribeiro
433;4;6;323.0;2025-07-21;Silveira
434;157;2;159.29;2025-07-03;Garcia Ltda.
435;128;5;21.84;2025-05-11;Sá
436;78;1;468.39;2025-05-10;Castro Sampaio e Filhos
437;160;3;435.16;2025-05-18;da Rosa Castro S/A
438;191;4;401.31;2025-07-12;Garcia Aparecida Ltda.
439;133;1;331.28;2025-04-29;Azevedo Moura - EI
440;117;2;359.58;2025-03-23;Abreu S.A.
441;65;2;73.3;2025-05-17;Ribeiro da Costa - ME
442;2;5;403.47;2025-05-08;da Mata S.A.
443;58;6;156.24;2025-05-24;Vieira
444;157;3;253.53;2025-03-22;Porto Jesus - ME
445;83;1;244.97;2025-03-14;Azevedo da Luz Ltda.
446;41;5;367.61;2025-07-14;Rezende
447;170;3;82.69;2025-03-06;Rodrigues S.A.
448;99;2;356.9;2025-04-13;Moura
449;188;2;199.96;2025-07-21;Vieira Andrade S.A.
450;41;5;458.86;2025-06-15;Duarte Pacheco S.A.
451;111;6;224.88;2025-05-08;Macedo
452;96;6;62.72;2025-06-19;Campos
453;20;2;210.3;2025-04-01;Gomes
454;83;4;423.98;2025-03-29;Barbosa Ltda.
455;161;2;479.01;2025-03-28;Andrade Mendonça S.A.
456;66;5;240.08;2025-07-28;da Cunha e Filhos
457;120;2;407.16;2025-04-12;Costela
458;144;6;136.59;2025-06-19;da Cunha
459;116;3;417.5;2025-05-12;da Conceição
460;31;3;332.98;2025-04-05;Santos
461;32;1;184.85;2025-03-06;Rios Mendonça - EI
462;90;1;184.4;2025-06-07;da Cruz
463;67;1;458.79;2025-08-27;Dias
464;183;2;392.3;2025-04-17;Rodrigues - EI
465;134;5;164.03;2025-05-13;Ribeiro
466;155;1;225.38;2025-05-07;Pacheco Azevedo - ME
467;37;1;57.05;2025-08-08;da Rocha
468;23;2;298.48;2025-05-23;Rodrigues
469;185;5;32.7;2025-05-11;Nascimento
470;81;4;308.83;2025-05-02;Montenegro
471;28;1;294.58;2025-04-01;Barbosa
472;67;4;172.31;2025-05-26;Duarte Pinto e Filhos
473;3;4;130.85;2025-06-25;Nascimento Vargas S/A
474;107;3;469.82;2025-03-21;Gonçalves
475;82;3;431.43;2025-04-21;Castro Ltda.
476;37;4;457.41;2025-06-05;Mendonça - ME
477;173;3;227.85;2025-03-23;Câmara
478;179;2;405.19;2025-07-27;Cunha
479;106;4;196.51;2025-03-25;Vieira Aragão S/A
480;69;2;409.99;2025-08-10;Montenegro
481;165;5;219.67;2025-08-17;Barbosa Castro S/A
482;46;5;472.27;2025-05-29;Caldeira
483;125;1;214.93;2025-03-25;da Luz
484;152;2;304.5;2025-05-02;Santos
485;183;6;363.46;2025-06-23;da Mota
486;58;6;399.75;2025-04-04;Souza
487;135;6;469.41;2025-05-28;Macedo Ribeiro e Filhos
488;27;4;150.7;2025-06-29;Pacheco
489;109;2;377.24;2025-05-09;Montenegro
490;147;5;154.0;2025-07-08;Barros Brito - EI
491;36;6;23.21;2025-08-25;Pacheco
492;19;2;144.65;2025-07-10;Câmara - EI
493;153;1;432.35;2025-06-25;Camargo
494;141;3;386.91;2025-07-15;Sampaio
495;11;2;111.43;2025-05-25;Ferreira - EI
496;27;1;87.48;2025-06-06;Porto - EI
497;177;1;359.45;2025-08-14;Siqueira
498;128;2;56.72;2025-06-23;da Mota Azevedo - ME
499;126;3;497.66;2025-06-21;Leão e Filhos
500;107;6;496.81;2025-08-28;da Paz
501;110;2;362.36;2025-08-12;Sales
502;127;3;74.08;2025-03-09;Jesus e Filhos
503;200;3;204.91;2025-08-05;Siqueira e Filhos
504;137;1;267.07;2025-04-13;Macedo
505;90;4;130.64;2025-03-19;Nascimento Moraes S.A.
506;111;2;423.7;2025-03-09;Guerra e Filhos
507;121;6;258.28;2025-03-21;Rios e Filhos
508;32;1;60.44;2025-05-13;Casa Grande
509;4;6;365.12;2025-06-24;Teixeira
510;187;4;226.92;2025-05-13;Cardoso
511;47;3;111.71;2025-06-13;Leão
512;171;4;120.14;2025-07-04;Alves
513;105;4;352.1;2025-06-09;Azevedo
514;91;6;144.75;2025-04-09;Dias da Rosa e Filhos
515;111;6;362.65;2025-07-05;Borges
516;97;4;245.88;2025-07-09;Montenegro
517;38;6;133.54;2025-03-03;Siqueira Albuquerque e Filhos
518;152;1;296.48;2025-05-12;Brito S.A.
519;183;4;264.59;2025-07-19;Andrade Pires - ME
520;131;4;277.89;2025-03-25;da Mota
521;124;1;316.52;2025-04-08;Cunha e Filhos
522;94;2;292.62;2025-03-03;da Paz
523;11;4;32.09;2025-05-09;Macedo Aragão - EI
524;155;3;497.04;2025-06-05;Costa
525;19;4;485.53;2025-05-13;Moreira
526;153;3;483.68;2025-03-04;Farias Ltda.
527;152;5;314.33;2025-07-16;Correia S.A.
528;137;2;443.59;2025-04-24;Nunes Cardoso S/A
529;69;1;148.76;2025-06-18;Fogaça
530;18;1;71.73;2025-07-19;Correia
531;114;1;207.4;2025-04-26;Vieira
532;48;1;193.58;2025-06-30;Câmara
533;89;5;435.89;2025-06-16;Macedo da Rocha - EI
534;142;6;328.65;2025-03-13;Jesus
535;118;4;11.29;2025-03-17;Alves Rezende - EI
536;44;3;81.94;2025-03-28;Alves Correia Ltda.
537;114;1;256.74;2025-08-08;Gomes
538;87;4;400.98;2025-06-07;Moraes - ME
539;82;3;320.87;2025-03-07;Pastor
540;87;6;42.2;2025-05-17;Campos
541;137;4;252.76;2025-04-12;Camargo
542;83;1;37.86;2025-08-13;da Mota - ME
543;74;4;391.92;2025-05-15;Ferreira Souza e Filhos
544;23;4;62.73;2025-05-21;Novaes
545;86;2;102.2;2025-04-11;Oliveira
546;37;6;466.22;2025-04-19;Sá
547;73;2;78.63;2025-08-15;Alves e Filhos
548;24;5;22.04;2025-03-13;Almeida - ME
549;200;1;168.98;2025-05-05;Montenegro e Filhos
550;110;2;115.4;2025-06-14;Silveira
551;84;6;45.27;2025-04-26;Vasconcelos
552;13;5;63.08;2025-03-19;Santos
553;196;4;264.54;2025-05-25;Nogueira - ME
554;12;2;273.06;2025-06-04;Martins
555;148;1;329.81;2025-03-07;Andrade
556;122;6;216.12;2025-04-26;Oliveira
557;7;5;425.3;2025-03-06;Almeida - EI
558;26;4;236.14;2025-05-16;Camargo
559;187;2;454.83;2025-05-21;Pimenta
560;66;4;178.44;2025-06-25;da Paz S.A.
561;105;4;145.7;2025-03-12;Rodrigues
562;189;5;68.5;2025-06-04;Albuquerque - EI
